# 
# *****************************************************************
# *                                                               *
# *    Copyright (c) Digital Equipment Corporation, 1991, 1994    *
# *                                                               *
# *   All Rights Reserved.  Unpublished rights  reserved  under   *
# *   the copyright laws of the United States.                    *
# *                                                               *
# *   The software contained on this media  is  proprietary  to   *
# *   and  embodies  the  confidential  technology  of  Digital   *
# *   Equipment Corporation.  Possession, use,  duplication  or   *
# *   dissemination of the software and media is authorized only  *
# *   pursuant to a valid written license from Digital Equipment  *
# *   Corporation.                                                *
# *                                                               *
# *   RESTRICTED RIGHTS LEGEND   Use, duplication, or disclosure  *
# *   by the U.S. Government is subject to restrictions  as  set  *
# *   forth in Subparagraph (c)(1)(ii)  of  DFARS  252.227-7013,  *
# *   or  in  FAR 52.227-19, as applicable.                       *
# *                                                               *
# *****************************************************************
#
# HISTORY
# 
# @(#)$RCSfile: .mrg..files.dat,v $ $Revision: 1.1.9.21 $ (DEC) $Date: 1993/12/22 15:55:09 $
# 
#########################################################################
# kernel/conf/files/.mrg..files.dat - Sterling Release			#
#									#
# General Rules -							#
#									#
#	Comments must begin with a '#' character			#
#									#
#	Blank lines are legal						#
#									#
#									#
# Format -								#
#									#
#	KEY ENTRYID ENTRY						#
#									#
#	KEY: This tells the merge script whether you want to delete "D" #
#	     or Update "U" a files file entry.				#
#									#
#	     D - Use this KEY to delete an entry that is no longer	#
#		 valid.							#
#									#
#	     U - Use this KEY to add a new entry. 			#
#									#
#	NOTE:  To modify an existing entry, first, use D to delete	#
#	       the old entry, then use U to add the new entry.		#
#									#
#########################################################################
D io/cam/sim_as.c			optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/sim_common.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/sim_config.c		optional asc or sii or siop or skz or kzq device-driver Notbinary
D io/cam/sim_error.c		optional asc or sii or siop or skz or kzq device-driver Binary
U io/cam/sim_as.c			optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/sim_common.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/sim_config.c		optional asc or sii or siop or aha or skz or kzq device-driver Notbinary
U io/cam/sim_error.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
D io/cam/sim_sched.c		optional asc or sii or siop or skz or kzq device-driver Binary
U io/cam/sim_sched.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
D io/cam/sim_sm.c			optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/sim_target.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/sim_xpt.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/special_audio.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/special_direct.c		optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/special_generic.c	optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/special_sequential.c	optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/uagt.c			optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/xpt.c			optional asc or sii or siop or skz or kzq device-driver Binary
D io/cam/mips_dummy.c             optional cpu DEC3000_500 or cpu DEC3000_300 or cpu DEC4000 or cpu DEC7000 asc device-driver Binary
D io/cam/dme_null.c		optional asc or sii or siop or skz device-driver Binary
U io/cam/sim_sm.c			optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/sim_target.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/sim_xpt.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/special_audio.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/special_direct.c		optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/special_generic.c	optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/special_sequential.c	optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/uagt.c			optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/xpt.c			optional asc or sii or siop or aha or skz or kzq device-driver Binary
U io/cam/mips_dummy.c             optional cpu DEC3000_500 or cpu DEC3000_300 or cpu DEC4000 or cpu DEC7000 or cpu DEC2000_300 asc device-driver Binary
U io/cam/dme_null.c		optional asc or sii or siop or aha or skz device-driver Binary
D io/dec/tc/qfont.c		standard device-driver Binary
U io/dec/tc/qfont.c		optional fb or vga device-driver Binary
D io/dec/tc/fgfont.c		optional px or pv device-driver Binary
U io/dec/tc/fgfont.c		optional px or pv or tciop or kws_td device-driver Binary
# If the previous four have ever been performed, replace the result
D io/dec/tc/qfont.c		optional fb or vga device-driver Binary
U io/dec/tc/qfont.c		optional fb or pv or vga device-driver Binary
D io/dec/tc/fgfont.c		optional px or pv or tciop or kws_td device-driver Binary
U io/dec/tc/fgfont.c		optional px or tciop or kws_td device-driver Binary
U io/dec/eisa/eisa.c		optional eisa device-driver Binary
U io/dec/eisa/eisa_cnfg.c		optional eisa device-driver Binary
U io/dec/eisa/gpc.c		optional gpc device-driver Binary
U io/dec/eisa/ace.c		optional ace device-driver Binary
U io/dec/eisa/lp.c		optional lp device-driver Binary
U io/dec/eisa/envram.c		optional envram device-driver Binary
U io/dec/netif/if_tra.c		optional tra device-driver Binary
D io/dec/scsi/alpha/scsi_disk.c	optional adusz device-driver Binary
U io/dec/scsi/alpha/scsi_disk.c	optional adusz or device-driver Binary
U io/cam/aha1740.c                optional aha device-driver Binary
U io/dec/fdi/fd.c                 optional fdi device-driver Binary
U io/dec/fdi/fdcam.c              optional fdi device-driver Binary
D io/dec/ws/ws_device.c		optional fb or pv or px device-driver Binary
U io/dec/ws/ws_device.c		optional ws or fb or pv or px or vga device-driver Binary
D io/dec/ws/bt455.c		optional fb device-driver Binary
D io/dec/ws/ims_g332.c		optional fb or pv or px device-driver Binary
D io/dec/ws/pmagaa.c		optional fb device-driver Binary
D io/dec/ws/pmvdac.c		optional fb device-driver Binary
D io/dec/ws/pmagdv.c		optional fb device-driver Binary
D io/dec/ws/vfb03.c		optional fb device-driver Binary
U io/dec/ws/vsxxx.c		optional fb or pv or px device-driver Binary
U io/dec/ws/pcxal.c		optional vga device-driver Binary
U io/dec/ws/pcxas.c		optional vga device-driver Binary
U io/dec/ws/vga.c			optional vga device-driver Binary
U io/dec/ws/qvision.c		optional vga device-driver Binary
D data/mbox_data.c		optional cpu DEC7000 or cpu DEC4000 Binary
U data/mbox_data.c		optional ibus or cpu DEC7000 or cpu DEC4000 Binary
D data/cam_data.c			optional asc or sii or siop or skz or kzq Notbinary
D data/cam_special_data.c		optional asc or sii or siop or skz or kzq Notbinary
U data/cam_data.c			optional asc or sii or aha or siop or skz or kzq Notbinary
U data/cam_special_data.c		optional asc or sii or aha or siop or skz or kzq Notbinary
U data/if_tra_data.c		optional tra Notbinary
D data/lk201_data.c		optional ws Notbinary
U data/bt_data.c			optional fb or px or pv Notbinary
U data/lk201_data.c		optional fb or px or pv Notbinary
U data/vsxxx_data.c		optional fb or px or pv Notbinary
U data/pcxal_data.c		optional vga Notbinary
U data/pcxas_data.c		optional vga Notbinary
D data/tty_pty_data.c		standard Notbinary
U data/tty_pty_data.c		optional  pty Notbinary
U data/pty_data.c			optional rpty Notbinary
D data/eisa_option_data.c	optional eisa Notbinary
U ./eisa_option_data.c		optional eisa Notbinary
U data/envram_data.c		optional envram Notbinary
D data/scsi_data.c		optional scsi or kzq or adusz Notbinary
U data/scsi_data.c		optional scsi or kzq or adusz or Notbinary
U data/vga_data.c			optional vga Notbinary
D data/ws_data.c		optional ws Notbinary
U data/ws_data.c		standard Notbinary
U io/common/error_event.c		standard Binary
D io/common/am.c			optional asc device-driver Binary
D io/common/am_scsi.c		optional asc device-driver Binary
U data/ace_data.c			optional ace device-driver Notbinary
U io/dec/fbus/fbus_loadable.c        optional fbus device-driver Binary
D data/presto_data.c              optional presto Notbinary
U data/presto_data.c              standard Notbinary
D io/dec/presto/pr.c		optional presto device-driver Binary
U io/dec/presto/pr.c		optional presto Binary
U io/cam/spo/sim_kztsa.c          optional tza device-driver Binary
U io/cam/spo/simport.c            optional tza device-driver Binary
U io/cam/spo/simport_subr.c       optional tza device-driver Binary
U arch/alpha/lww.s                standard Binary
U arch/alpha/lwu.s                standard Binary
U data/trn_sr_data.c		  standard Notbinary
U net/trn_sr.c			  optional tra or trsrcf Binary
U OPTIONS/trsrcf		  optional trsrcf
D io/dec/ws/lk201.c		optional fb or pv or px device-driver Binary
D io/dec/ws/vsxxx.c		optional fb or pv or px device-driver Binary
D io/dec/ws/pcxal.c		optional vga device-driver Binary
D io/dec/ws/pcxas.c		optional vga device-driver Binary
U io/dec/ws/lk201.c		optional ws and scc device-driver Binary
U io/dec/ws/vsxxx.c		optional ws and scc device-driver Binary
U io/dec/ws/pcxal.c		optional ws and gpc device-driver Binary
U io/dec/ws/pcxas.c		optional ws and gpc device-driver Binary
D data/lk201_data.c		optional fb or px or pv Notbinary
D data/vsxxx_data.c		optional fb or px or pv Notbinary
D data/pcxal_data.c		optional vga Notbinary
D data/pcxas_data.c		optional vga Notbinary
U data/lk201_data.c		optional ws and scc Notbinary
U data/vsxxx_data.c		optional ws and scc Notbinary
U data/pcxal_data.c		optional ws and gpc Notbinary
U data/pcxas_data.c		optional ws and gpc Notbinary
D io/dec/ws/ws_device.c		optional ws or fb or pv or px or vga device-driver Binary
U io/dec/ws/ws_device.c		optional ws device-driver Binary
